"vehicle_id","title","description","url","make","model","year","mileage.value","mileage.unit","image[0].url","image[1].url","image[2].url","image[3].url","image[4].url","image[5].url","image[6].url","image[7].url","image[8].url","image[9].url","body_style","state_of_vehicle","availability","condition","price","address","exterior_color","fuel_type","transmission","drivetrain","vehicle_type","dealer_name","dealer_phone","custom_label_0","custom_label_1","custom_label_2"
"A098","Volkswagen Nivus 1.0 TSI 2021","Volkswagen Nivus 1.0 TSI 2021 usado en Lomas del Mirador. 50.000 km. Consultá precio, financiación con cuotas fijas y permuta en LMP Autos. Av. Mosconi 799.","https://lmpautos.com/vehiculos/volkswagen-nivus-1-0-tsi-2021/","Volkswagen","Nivus 1.0 TSI","2021","50000","KM","https://lmpautos.com/img/meta/A098.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A098-1.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A098-2.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A098-3.jpg?v=f9296cb0dfcb","","","","","","","CROSSOVER","USED","AVAILABLE","GOOD","34400000 ARS","{""addr1"":""Av. General Enrique Mosconi 799"",""city"":""Lomas del Mirador"",""region"":""Buenos Aires"",""country"":""AR"",""postal_code"":""B1752CXH""}","Blanco","GASOLINE","AUTOMATIC","","CAR_TRUCK","LMP Autos","+54 9 11 3262-7744","Disponible","Nafta","2021"
"A075","Chevrolet Onix 1.4 Plus Joy 2020","Chevrolet Onix 1.4 Plus Joy 2020 usado en Lomas del Mirador. 90.000 km. Consultá precio, financiación con cuotas fijas y permuta en LMP Autos. Av. Mosconi 799.","https://lmpautos.com/vehiculos/chevrolet-onix-1-4-plus-joy-2020/","Chevrolet","Onix 1.4 Plus Joy","2020","90000","KM","https://lmpautos.com/img/meta/A075.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A075-1.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A075-2.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A075-3.jpg?v=f9296cb0dfcb","","","","","","","HATCHBACK","USED","AVAILABLE","GOOD","19600000 ARS","{""addr1"":""Av. General Enrique Mosconi 799"",""city"":""Lomas del Mirador"",""region"":""Buenos Aires"",""country"":""AR"",""postal_code"":""B1752CXH""}","Blanco","GASOLINE","MANUAL","","CAR_TRUCK","LMP Autos","+54 9 11 3262-7744","Disponible","Nafta","2020"
"A133","Chevrolet Prisma 1.4 LTZ 2019","Chevrolet Prisma 1.4 LTZ 2019 usado en Lomas del Mirador. 77.000 km. Consultá precio, financiación con cuotas fijas y permuta en LMP Autos. Av. Mosconi 799.","https://lmpautos.com/vehiculos/chevrolet-prisma-1-4-ltz-2019/","Chevrolet","Prisma 1.4 LTZ","2019","77000","KM","https://lmpautos.com/img/meta/A133.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A133-1.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A133-2.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A133-3.jpg?v=f9296cb0dfcb","","","","","","","OTHER","USED","AVAILABLE","GOOD","18000000 ARS","{""addr1"":""Av. General Enrique Mosconi 799"",""city"":""Lomas del Mirador"",""region"":""Buenos Aires"",""country"":""AR"",""postal_code"":""B1752CXH""}","Blanco","GASOLINE","MANUAL","","CAR_TRUCK","LMP Autos","+54 9 11 3262-7744","Disponible","Nafta","2019"
"A129","Citroen Jumper 435 HDI 2019","Citroen Jumper 435 HDI 2019 usado en Lomas del Mirador. 30.000 km. Consultá precio, financiación con cuotas fijas y permuta en LMP Autos. Av. Mosconi 799.","https://lmpautos.com/vehiculos/citroen-jumper-435-hdi-2019/","Citroen","Jumper 435 HDI","2019","30000","KM","https://lmpautos.com/img/meta/A129.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A129-1.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A129-2.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A129-3.jpg?v=f9296cb0dfcb","","","","","","","VAN","USED","AVAILABLE","GOOD","54700000 ARS","{""addr1"":""Av. General Enrique Mosconi 799"",""city"":""Lomas del Mirador"",""region"":""Buenos Aires"",""country"":""AR"",""postal_code"":""B1752CXH""}","Blanco","DIESEL","MANUAL","","COMMERCIAL","LMP Autos","+54 9 11 3262-7744","Disponible","Diesel","2019"
"A128","Fiat Abarth 595 1.4 Turbo Gran Turismo 2018","Fiat Abarth 595 1.4 Turbo Gran Turismo 2018 usado en Lomas del Mirador. 40.000 km. Consultá precio, financiación con cuotas fijas y permuta en LMP Autos. Av. Mosconi 799.","https://lmpautos.com/vehiculos/fiat-abarth-595-1-4-turbo-gran-turismo-2018/","Fiat","Abarth 595 1.4 Turbo Gran Turismo","2018","40000","KM","https://lmpautos.com/img/meta/A128.jpg?v=f9296cb0dfcb","","","","","","","","","","HATCHBACK","USED","AVAILABLE","GOOD","41400000 ARS","{""addr1"":""Av. General Enrique Mosconi 799"",""city"":""Lomas del Mirador"",""region"":""Buenos Aires"",""country"":""AR"",""postal_code"":""B1752CXH""}","Rojo","GASOLINE","MANUAL","","CAR_TRUCK","LMP Autos","+54 9 11 3262-7744","Disponible","Nafta","2018"
"A132","Chevrolet Onix 1.4 LT 2017","Chevrolet Onix 1.4 LT 2017 usado en Lomas del Mirador. 80.000 km. Consultá precio, financiación con cuotas fijas y permuta en LMP Autos. Av. Mosconi 799.","https://lmpautos.com/vehiculos/chevrolet-onix-1-4-lt-2017/","Chevrolet","Onix 1.4 LT","2017","80000","KM","https://lmpautos.com/img/meta/A132.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A132-1.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A132-3.jpg?v=f9296cb0dfcb","","","","","","","","HATCHBACK","USED","AVAILABLE","GOOD","15200000 ARS","{""addr1"":""Av. General Enrique Mosconi 799"",""city"":""Lomas del Mirador"",""region"":""Buenos Aires"",""country"":""AR"",""postal_code"":""B1752CXH""}","Gris","GASOLINE","MANUAL","","CAR_TRUCK","LMP Autos","+54 9 11 3262-7744","Disponible","Nafta","2017"
"A125","Renault Sandero 1.6 Authentique 2017","Renault Sandero 1.6 Authentique 2017 usado en Lomas del Mirador. 95.000 km. Consultá precio, financiación con cuotas fijas y permuta en LMP Autos. Av. Mosconi 799.","https://lmpautos.com/vehiculos/renault-sandero-1-6-authentique-2017/","Renault","Sandero 1.6 Authentique","2017","95000","KM","https://lmpautos.com/img/meta/A125.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A125-1.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A125-2.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A125-3.jpg?v=f9296cb0dfcb","","","","","","","HATCHBACK","USED","AVAILABLE","GOOD","15700000 ARS","{""addr1"":""Av. General Enrique Mosconi 799"",""city"":""Lomas del Mirador"",""region"":""Buenos Aires"",""country"":""AR"",""postal_code"":""B1752CXH""}","Gris","GASOLINE","MANUAL","","CAR_TRUCK","LMP Autos","+54 9 11 3262-7744","Disponible","Nafta","2017"
"A097","Toyota Etios 1.5 XLS 2017","Toyota Etios 1.5 XLS 2017 usado en Lomas del Mirador. 119.000 km. Consultá precio, financiación con cuotas fijas y permuta en LMP Autos. Av. Mosconi 799.","https://lmpautos.com/vehiculos/toyota-etios-1-5-xls-2017/","Toyota","Etios 1.5 XLS","2017","119000","KM","https://lmpautos.com/img/meta/A097.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A097-1.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A097-2.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A097-3.jpg?v=f9296cb0dfcb","","","","","","","HATCHBACK","USED","AVAILABLE","GOOD","17700000 ARS","{""addr1"":""Av. General Enrique Mosconi 799"",""city"":""Lomas del Mirador"",""region"":""Buenos Aires"",""country"":""AR"",""postal_code"":""B1752CXH""}","Gris","GASOLINE","MANUAL","","CAR_TRUCK","LMP Autos","+54 9 11 3262-7744","Disponible","Nafta","2017"
"A042","Chevrolet Cruze 1.4 LT 2017","Chevrolet Cruze 1.4 LT 2017 usado en Lomas del Mirador. 80.000 km. Consultá precio, financiación con cuotas fijas y permuta en LMP Autos. Av. Mosconi 799.","https://lmpautos.com/vehiculos/chevrolet-cruze-1-4-lt-2017/","Chevrolet","Cruze 1.4 LT","2017","80000","KM","https://lmpautos.com/img/meta/A042.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A042-1.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A042-2.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A042-3.jpg?v=f9296cb0dfcb","","","","","","","SEDAN","USED","AVAILABLE","GOOD","21100000 ARS","{""addr1"":""Av. General Enrique Mosconi 799"",""city"":""Lomas del Mirador"",""region"":""Buenos Aires"",""country"":""AR"",""postal_code"":""B1752CXH""}","Negro","GASOLINE","MANUAL","","CAR_TRUCK","LMP Autos","+54 9 11 3262-7744","Disponible","Nafta","2017"
"A113","Renault Clio 1.2 Mio Dynamique 2016","Renault Clio 1.2 Mio Dynamique 2016 usado en Lomas del Mirador. 98.000 km. Consultá precio, financiación con cuotas fijas y permuta en LMP Autos. Av. Mosconi 799.","https://lmpautos.com/vehiculos/renault-clio-1-2-mio-dynamique-2016/","Renault","Clio 1.2 Mio Dynamique","2016","98000","KM","https://lmpautos.com/img/meta/A113.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A113-1.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A113-2.jpg?v=f9296cb0dfcb","https://lmpautos.com/img/meta/A113-3.jpg?v=f9296cb0dfcb","","","","","","","HATCHBACK","USED","AVAILABLE","GOOD","13300000 ARS","{""addr1"":""Av. General Enrique Mosconi 799"",""city"":""Lomas del Mirador"",""region"":""Buenos Aires"",""country"":""AR"",""postal_code"":""B1752CXH""}","Gris","GASOLINE","MANUAL","","CAR_TRUCK","LMP Autos","+54 9 11 3262-7744","Disponible","Nafta","2016"
